name,email,province,city,date,letter,gifts
Eric,eric2018@yahoo.com,Nova Scotia,Halifax,2024-11-23,"To Santa Claus,

My name is Eric, and I live in Halifax, Nova Scotia.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a toy car. And if it’s not too much to ask, I would love a teddy bear as well.

Thank you so much, Santa!
Warm regards,
Eric
","toy car, teddy bear"
Kelsey,,Saskatchewan,Regina,2024-12-07,"Dear S-Claus,

It's your pal Kelsey from Regina, Saskatchewan. I've been working on my nice game all year.
I'm really hoping for a vintage-style typewriter keyboard this Christmas. And hey, if you're in a giving mood, a compact sewing machine would be awesome too!

Thanks for being you!
Kelsey
","vintage-style typewriter keyboard, compact sewing machine"
David,david789@gmail.com,Nova Scotia,Sydney,2024-11-15,"Hey Santa!

What's up? It's David here from Sydney, Nova Scotia. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a teddy bear under the tree. Oh, and if you've got room in that sleigh, a Apple Watch would be epic too!

You're the best, big guy!
David
","teddy bear, Apple Watch"
Lisa,,Nova Scotia,Halifax,2024-11-12,"Hi Santa,

I'm Lisa from Halifax, Nova Scotia. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a desktop air purifier. If it’s not too much trouble, I’d also love a Rechargeable Hand Warmer.

Happy Holidays, Santa!
Best wishes,
Lisa
","desktop air purifier, Rechargeable Hand Warmer"
Jeanette,jeanette789@gmail.com,Saskatchewan,Regina,2024-11-13,"Dear Santa,

I hope this letter finds you well. My name is Jeanette, and I live in Regina, Saskatchewan. 
This year, I've been on my best behavior. For Christmas, I would really love a The Clearly Impossible Puzzle. 
If you can, I would also be thrilled to receive a teddy bear.

Thank you for all the joy you bring!
Sincerely,
Jeanette
","The Clearly Impossible Puzzle, teddy bear"
Ethan,ethan.jones@hotmail.com,Ontario,Toronto,2024-12-06,"Santa, my dude!

Ethan here, repping Toronto, Ontario. I've been good(ish) this year, promise!
I'm crossing my fingers for a electric scooter. And if you're feeling extra magical, a magnetic levitating globe would make my year!

You rock, Santa!
Ethan
","electric scooter, magnetic levitating globe"
Karen,karen.brown@outlook.com,Alberta,Edmonton,2024-11-19,"Dear Santa Claus,

Karen here from Edmonton, Alberta. I've been working hard on being good this year.
I'm really excited about the possibility of getting a compact sewing machine. And if it's not too much to ask, a Teenage Mutant Ninja Turtles Figures would be incredible!

Thanks for spreading joy!
Karen
","compact sewing machine, Teenage Mutant Ninja Turtles Figures"
Heather,heather.m@gmail.com,New Brunswick,Saint John,2024-11-13,"Dear Santa Claus,

Heather here from Saint John, New Brunswick. I've been working hard on being good this year.
I'm really excited about the possibility of getting a solar-powered phone charger. And if it's not too much to ask, a Rainbow Loom Charm Bracelet Kit would be incredible!

Thanks for spreading joy!
Heather
","solar-powered phone charger, Rainbow Loom Charm Bracelet Kit"
Charles,charles.miller@yahoo.com,Newfoundland and Labrador,St. John's,2024-12-13,"Dear Santa,

I hope this letter finds you well. My name is Charles, and I live in St. John's, Newfoundland and Labrador. 
This year, I've been on my best behavior. For Christmas, I would really love a Skullcandy Dime 2 In-Ear Wireless Earbuds. 
If you can, I would also be thrilled to receive a electric scooter.

Thank you for all the joy you bring!
Sincerely,
Charles
","Skullcandy Dime 2 In-Ear Wireless Earbuds, electric scooter"
Brian,brian2014@mail.com,British Columbia,Burnaby,2024-12-06,"Hi Santa,

I'm Brian from Burnaby, British Columbia. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a Our Generation Siberian Husky Plush. If it’s not too much trouble, I’d also love a wireless charging pad.

Happy Holidays, Santa!
Best wishes,
Brian
","Our Generation Siberian Husky Plush, wireless charging pad"
Billy,,Northwest Territories,Inuvik,2024-11-29,"Hey Santa, what's good?

It's your buddy Billy from Inuvik, Northwest Territories. I've been trying to keep my cool all year.
I'm really hoping to score a Our Generation Siberian Husky Plush this Christmas. And if you've got any magic left, a Miniverse Make It Mini Food Kits would be sick!

Keep sleighing it, Santa!
Billy
","Our Generation Siberian Husky Plush, Miniverse Make It Mini Food Kits"
Richard,richard.whi@mail.com,Yukon,Whitehorse,2024-12-06,"Santa, my dude!

Richard here, repping Whitehorse, Yukon. I've been good(ish) this year, promise!
I'm crossing my fingers for a X-Shot Excel Reflex 6 Blaster. And if you're feeling extra magical, a smart home assistant would make my year!

You rock, Santa!
Richard
","X-Shot Excel Reflex 6 Blaster, smart home assistant"
Ashley,ashley.fre@outlook.com,New Brunswick,Fredericton,2024-12-17,"Santa, my main man!

Ashley here, chillin' in Fredericton, New Brunswick. I've been keeping it real and staying good.
I'm dreaming of unwrapping a foldable travel backpack on Christmas morning. And if you're feeling generous, a Ceramic Piggybank Nursery Keepsake would be the cherry on top!

You're the GOAT, Santa!
Ashley
","foldable travel backpack, Ceramic Piggybank Nursery Keepsake"
James,james.cha@yahoo.com,Prince Edward Island,Charlottetown,2024-12-21,"Hello Santa,

My name is James, and I come from Charlottetown, Prince Edward Island.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a Apple Watch. And if it’s possible, I’d also really appreciate a personalized leather journal.

Thanks for making Christmas magical!
With gratitude,
James
","Apple Watch, personalized leather journal"
Elizabeth,elizabeth2013@hotmail.com,Alberta,Edmonton,2024-11-14,"Hey Santa, what's good?

It's your buddy Elizabeth from Edmonton, Alberta. I've been trying to keep my cool all year.
I'm really hoping to score a mechanical keyboard this Christmas. And if you've got any magic left, a e.l.f. Halo Glow Liquid Filter would be sick!

Keep sleighing it, Santa!
Elizabeth
","mechanical keyboard, e.l.f. Halo Glow Liquid Filter"
Kristi,kristi.miller@hotmail.com,Manitoba,Winnipeg,2024-11-27,"Hi there, Santa!

It's Kristi from Winnipeg, Manitoba. I've been trying my best to stay on the nice list.
I'm really wishing for a Funko POP! Figures (NBA, MLB, Marvel) this year. And if it's not too much, a heated blanket with remote would be amazing too!

Thanks for all you do!
Kristi
","Funko POP! Figures (NBA, MLB, Marvel), heated blanket with remote"
Harry,harry.cor@hotmail.com,Newfoundland and Labrador,Corner Brook,2024-12-15,"Santa, my dude!

Harry here, repping Corner Brook, Newfoundland and Labrador. I've been good(ish) this year, promise!
I'm crossing my fingers for a doll. And if you're feeling extra magical, a retro instant camera would make my year!

You rock, Santa!
Harry
","doll, retro instant camera"
Rachel,rachel456@mail.com,Alberta,Calgary,2024-12-01,"Dear Santa Claus,

Hello! My name is Rachel, and I live in Calgary, Alberta.
I’ve been very kind and helpful this year. For Christmas, I would really like a e.l.f. Halo Glow Liquid Filter.
It would also make me so happy to have a noise-cancelling headphones if you can manage it.

Thank you so much, Santa!
Yours truly,
Rachel
","e.l.f. Halo Glow Liquid Filter, noise-cancelling headphones"
Sabrina,,Saskatchewan,Saskatoon,2024-12-01,"Dear S-Claus,

It's your pal Sabrina from Saskatoon, Saskatchewan. I've been working on my nice game all year.
I'm really hoping for a Amazon Fire HD 10 Kids Pro this Christmas. And hey, if you're in a giving mood, a LEGO Sets would be awesome too!

Thanks for being you!
Sabrina
","Amazon Fire HD 10 Kids Pro, LEGO Sets"
Jeffrey,jeffrey789@mail.com,Quebec,Montreal,2024-11-10,"To Santa Claus,

My name is Jeffrey, and I live in Montreal, Quebec.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a mechanical keyboard. And if it’s not too much to ask, I would love a Barbie Dreamhouse as well.

Thank you so much, Santa!
Warm regards,
Jeffrey
","mechanical keyboard, Barbie Dreamhouse"
Norman,norman.miller@mail.com,Saskatchewan,Regina,2024-11-18,"Santa, my main man!

Norman here, chillin' in Regina, Saskatchewan. I've been keeping it real and staying good.
I'm dreaming of unwrapping a noise-cancelling headphones on Christmas morning. And if you're feeling generous, a desktop bonsai tree kit would be the cherry on top!

You're the GOAT, Santa!
Norman
","noise-cancelling headphones, desktop bonsai tree kit"
Samantha,samantha.brown@hotmail.com,Saskatchewan,Prince Albert,2024-11-04,"S-man!

What's crackin'? It's Samantha from Prince Albert, Saskatchewan. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a robot. And if you're feeling extra jolly, a Nintendo Switch Game would be off the hook!

You're a legend, Santa!
Samantha
","robot, Nintendo Switch Game"
Eric,eric789@mail.com,Prince Edward Island,Summerside,2024-11-17,"Hi there, Santa!

It's Eric from Summerside, Prince Edward Island. I've been trying my best to stay on the nice list.
I'm really wishing for a ElectroCubes Nightlight Building Set this year. And if it's not too much, a Apple iPad (10th Generation) would be amazing too!

Thanks for all you do!
Eric
","ElectroCubes Nightlight Building Set, Apple iPad (10th Generation)"
Whitney,whitney.m@yahoo.com,Nova Scotia,Halifax,2024-11-16,"Yo Santa!

Whitney checking in from Halifax, Nova Scotia. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a compact sewing machine. And, if you're feeling extra jolly, a Amazon Fire HD 10 Kids Pro would blow my mind!

Stay frosty!
Whitney
","compact sewing machine, Amazon Fire HD 10 Kids Pro"
Kelli,kelli.smith@mail.com,Yukon,Dawson City,2024-12-18,"Hello Santa,

My name is Kelli, and I come from Dawson City, Yukon.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a portable bluetooth speaker. And if it’s possible, I’d also really appreciate a Skullcandy Dime 2 In-Ear Wireless Earbuds.

Thanks for making Christmas magical!
With gratitude,
Kelli
","portable bluetooth speaker, Skullcandy Dime 2 In-Ear Wireless Earbuds"
Michael,michael2012@mail.com,Ontario,Brampton,2024-11-10,"Yo Santa!

Michael checking in from Brampton, Ontario. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a portable campfire. And, if you're feeling extra jolly, a portable bluetooth speaker would blow my mind!

Stay frosty!
Michael
","portable campfire, portable bluetooth speaker"
Cassandra,,Alberta,Red Deer,2024-11-27,"Dear Santa Claus,

Hello! My name is Cassandra, and I live in Red Deer, Alberta.
I’ve been very kind and helpful this year. For Christmas, I would really like a indoor herb garden kit.
It would also make me so happy to have a heated blanket with remote if you can manage it.

Thank you so much, Santa!
Yours truly,
Cassandra
","indoor herb garden kit, heated blanket with remote"
Patrick,patrick.ste@gmail.com,Manitoba,Steinbach,2024-11-26,"Santa, my dude!

Patrick here, repping Steinbach, Manitoba. I've been good(ish) this year, promise!
I'm crossing my fingers for a magnetic levitating globe. And if you're feeling extra magical, a Harry Potter Crookshanks Plush would make my year!

You rock, Santa!
Patrick
","magnetic levitating globe, Harry Potter Crookshanks Plush"
Sheila,sheila123@yahoo.com,Nunavut,Iqaluit,2024-11-16,"To Santa Claus,

My name is Sheila, and I live in Iqaluit, Nunavut.
This year, I’ve worked really hard to stay on the 'nice' list. For Christmas, I would be so happy 
to receive a LEGO Batman Mech Armor. And if it’s not too much to ask, I would love a Wake Up Light Sunrise Alarm Clock as well.

Thank you so much, Santa!
Warm regards,
Sheila
","LEGO Batman Mech Armor, Wake Up Light Sunrise Alarm Clock"
Melanie,melanie.m@outlook.com,British Columbia,Vancouver,2024-12-19,"Dear Santa Claus,

Melanie here from Vancouver, British Columbia. I've been working hard on being good this year.
I'm really excited about the possibility of getting a 3D printing pen. And if it's not too much to ask, a doll would be incredible!

Thanks for spreading joy!
Melanie
","3D printing pen, doll"
Taylor,taylor456@gmail.com,Quebec,Quebec City,2024-11-11,"Hey Santa, what's good?

It's your buddy Taylor from Quebec City, Quebec. I've been trying to keep my cool all year.
I'm really hoping to score a digital art drawing tablet this Christmas. And if you've got any magic left, a Surprise Toy Bath Bombs would be sick!

Keep sleighing it, Santa!
Taylor
","digital art drawing tablet, Surprise Toy Bath Bombs"
Russell,russell.vic@outlook.com,British Columbia,Victoria,2024-11-15,"Dear Santa Claus,

It’s Russell here from Victoria, British Columbia! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a customized photo puzzle.
And if it’s okay, I’d also love a Samsung Galaxy Tab A9+ to make the holidays even more special.

Thanks so much, Santa!
Love,
Russell
","customized photo puzzle, Samsung Galaxy Tab A9+"
Deborah,,New Brunswick,Saint John,2024-12-13,"Hi Santa!

Deborah here, waving from Saint John, New Brunswick. I've been trying my best to be good (most of the time).
I'm really hoping to find a Skullcandy Dime 2 In-Ear Wireless Earbuds under the tree. And if there's room in your bag, a lego set would be amazing!

Thanks for being awesome!
Deborah
","Skullcandy Dime 2 In-Ear Wireless Earbuds, lego set"
Tara,,New Brunswick,Moncton,2024-11-04,"Dear S-Claus,

It's your pal Tara from Moncton, New Brunswick. I've been working on my nice game all year.
I'm really hoping for a smart water bottle this Christmas. And hey, if you're in a giving mood, a programmable LED message board would be awesome too!

Thanks for being you!
Tara
","smart water bottle, programmable LED message board"
Kyle,kyle2012@gmail.com,Alberta,Lethbridge,2024-12-09,"Yo Santa!

Kyle checking in from Lethbridge, Alberta. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a smart water bottle. And, if you're feeling extra jolly, a wireless gaming mouse would blow my mind!

Stay frosty!
Kyle
","smart water bottle, wireless gaming mouse"
Vanessa,vanessa.miller@gmail.com,New Brunswick,Saint John,2024-12-14,"Dear Santa Claus,

Vanessa here from Saint John, New Brunswick. I've been working hard on being good this year.
I'm really excited about the possibility of getting a mini drone. And if it's not too much to ask, a multi-tool pocket knife would be incredible!

Thanks for spreading joy!
Vanessa
","mini drone, multi-tool pocket knife"
Lori,,Newfoundland and Labrador,St. John's,2024-12-21,"Santa, my main man!

Lori here, chillin' in St. John's, Newfoundland and Labrador. I've been keeping it real and staying good.
I'm dreaming of unwrapping a smartphone tripod on Christmas morning. And if you're feeling generous, a toy car would be the cherry on top!

You're the GOAT, Santa!
Lori
","smartphone tripod, toy car"
Christopher,christopher123@yahoo.com,Northwest Territories,Yellowknife,2024-11-23,"Hi Santa,

I'm Christopher from Yellowknife, Northwest Territories. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a e.l.f. Halo Glow Liquid Filter. If it’s not too much trouble, I’d also love a LEGO Star Wars Set.

Happy Holidays, Santa!
Best wishes,
Christopher
","e.l.f. Halo Glow Liquid Filter, LEGO Star Wars Set"
Kimberly,kimberly.let@mail.com,Alberta,Lethbridge,2024-12-01,"Hello Santa,

My name is Kimberly, and I come from Lethbridge, Alberta.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a customized photo puzzle. And if it’s possible, I’d also really appreciate a Samsung Galaxy Tab A9+.

Thanks for making Christmas magical!
With gratitude,
Kimberly
","customized photo puzzle, Samsung Galaxy Tab A9+"
Benjamin,,Saskatchewan,Regina,2024-11-30,"Dear S-Claus,

It's your pal Benjamin from Regina, Saskatchewan. I've been working on my nice game all year.
I'm really hoping for a teddy bear this Christmas. And hey, if you're in a giving mood, a smart water bottle would be awesome too!

Thanks for being you!
Benjamin
","teddy bear, smart water bottle"
Patricia,patricia.m@outlook.com,Nova Scotia,Halifax,2024-11-12,"Dear Santa Claus,

Hello! My name is Patricia, and I live in Halifax, Nova Scotia.
I’ve been very kind and helpful this year. For Christmas, I would really like a noise-cancelling headphones.
It would also make me so happy to have a X-Shot Excel Reflex 6 Blaster if you can manage it.

Thank you so much, Santa!
Yours truly,
Patricia
","noise-cancelling headphones, X-Shot Excel Reflex 6 Blaster"
John,,Saskatchewan,Regina,2024-11-28,"Hey Santa!

What's up? It's John here from Regina, Saskatchewan. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a teddy bear under the tree. Oh, and if you've got room in that sleigh, a LED Light-Up Sneakers would be epic too!

You're the best, big guy!
John
","teddy bear, LED Light-Up Sneakers"
Marcus,marcus.ste@outlook.com,Manitoba,Steinbach,2024-12-24,"Dear Santa Claus,

Hello! My name is Marcus, and I live in Steinbach, Manitoba.
I’ve been very kind and helpful this year. For Christmas, I would really like a customized photo puzzle.
It would also make me so happy to have a 5 Surprise NBA Ballers if you can manage it.

Thank you so much, Santa!
Yours truly,
Marcus
","customized photo puzzle, 5 Surprise NBA Ballers"
Andrew,andrew.brown@hotmail.com,Manitoba,Brandon,2024-11-28,"Yo Santa!

Andrew checking in from Brandon, Manitoba. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a e.l.f. Halo Glow Liquid Filter. And, if you're feeling extra jolly, a foldable travel backpack would blow my mind!

Stay frosty!
Andrew
","e.l.f. Halo Glow Liquid Filter, foldable travel backpack"
Linda,,Nova Scotia,Halifax,2024-11-02,"Santa, my main man!

Linda here, chillin' in Halifax, Nova Scotia. I've been keeping it real and staying good.
I'm dreaming of unwrapping a digital art drawing tablet on Christmas morning. And if you're feeling generous, a Apple iPad Air would be the cherry on top!

You're the GOAT, Santa!
Linda
","digital art drawing tablet, Apple iPad Air"
Jessica,jessica2014@mail.com,Alberta,Calgary,2024-12-08,"Hi Santa,

I'm Jessica from Calgary, Alberta. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a noise-cancelling headphones. If it’s not too much trouble, I’d also love a video game.

Happy Holidays, Santa!
Best wishes,
Jessica
","noise-cancelling headphones, video game"
Michael,michael.m@mail.com,Quebec,Quebec City,2024-12-18,"Dear Santa Claus,

Hello! My name is Michael, and I live in Quebec City, Quebec.
I’ve been very kind and helpful this year. For Christmas, I would really like a Small Stoneware Vase.
It would also make me so happy to have a book if you can manage it.

Thank you so much, Santa!
Yours truly,
Michael
","Small Stoneware Vase, book"
Joseph,joseph.wilson@hotmail.com,British Columbia,Surrey,2024-12-21,"Dear S-Claus,

It's your pal Joseph from Surrey, British Columbia. I've been working on my nice game all year.
I'm really hoping for a Small Stoneware Vase this Christmas. And hey, if you're in a giving mood, a interactive storybook projector would be awesome too!

Thanks for being you!
Joseph
","Small Stoneware Vase, interactive storybook projector"
Lori,lori2015@outlook.com,Nunavut,Rankin Inlet,2024-12-17,"Dear Santa Claus,

Lori here from Rankin Inlet, Nunavut. I've been working hard on being good this year.
I'm really excited about the possibility of getting a Out to Impress Jewelry Set. And if it's not too much to ask, a heated blanket with remote would be incredible!

Thanks for spreading joy!
Lori
","Out to Impress Jewelry Set, heated blanket with remote"
Lori,,Nunavut,Rankin Inlet,2024-12-20,"Dear Santa Claus,

Hello! My name is Lori, and I live in Rankin Inlet, Nunavut.
I’ve been very kind and helpful this year. For Christmas, I would really like a bicycle.
It would also make me so happy to have a 5 Surprise NBA Ballers if you can manage it.

Thank you so much, Santa!
Yours truly,
Lori
","bicycle, 5 Surprise NBA Ballers"
Joshua,joshua.m@mail.com,Ontario,Mississauga,2024-11-24,"Dear S-Claus,

It's your pal Joshua from Mississauga, Ontario. I've been working on my nice game all year.
I'm really hoping for a Samsung Galaxy Tab A9+ this Christmas. And hey, if you're in a giving mood, a Minnie Mouse Hat and Mittens would be awesome too!

Thanks for being you!
Joshua
","Samsung Galaxy Tab A9+, Minnie Mouse Hat and Mittens"
Mathew,,Manitoba,Winnipeg,2024-12-06,"Dear S-Claus,

It's your pal Mathew from Winnipeg, Manitoba. I've been working on my nice game all year.
I'm really hoping for a electric scooter this Christmas. And hey, if you're in a giving mood, a LEGO Creator 3-in-1 Mighty Dinosaurs would be awesome too!

Thanks for being you!
Mathew
","electric scooter, LEGO Creator 3-in-1 Mighty Dinosaurs"
Marcus,marcus.wilson@yahoo.com,Saskatchewan,Saskatoon,2024-11-14,"Santa, my main man!

Marcus here, chillin' in Saskatoon, Saskatchewan. I've been keeping it real and staying good.
I'm dreaming of unwrapping a smart water bottle on Christmas morning. And if you're feeling generous, a ElectroCubes Nightlight Building Set would be the cherry on top!

You're the GOAT, Santa!
Marcus
","smart water bottle, ElectroCubes Nightlight Building Set"
Frank,frank.tor@yahoo.com,Ontario,Toronto,2024-12-14,"Dear Santa Claus,

It’s Frank here from Toronto, Ontario! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a Small Stoneware Vase.
And if it’s okay, I’d also love a teddy bear to make the holidays even more special.

Thanks so much, Santa!
Love,
Frank
","Small Stoneware Vase, teddy bear"
Gregory,gregory2016@hotmail.com,Nova Scotia,Halifax,2024-11-07,"Hey Santa!

What's up? It's Gregory here from Halifax, Nova Scotia. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a Apple iPad Air under the tree. Oh, and if you've got room in that sleigh, a robot would be epic too!

You're the best, big guy!
Gregory
","Apple iPad Air, robot"
Regina,regina.fre@outlook.com,New Brunswick,Fredericton,2024-12-11,"Hey Santa!

What's up? It's Regina here from Fredericton, New Brunswick. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a Apple iPad Air under the tree. Oh, and if you've got room in that sleigh, a skateboard would be epic too!

You're the best, big guy!
Regina
","Apple iPad Air, skateboard"
Cassandra,cassandra.wat@yahoo.com,Yukon,Watson Lake,2024-11-10,"Hello Santa,

My name is Cassandra, and I come from Watson Lake, Yukon.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a LEGO Sets. And if it’s possible, I’d also really appreciate a Rainbow Loom Charm Bracelet Kit.

Thanks for making Christmas magical!
With gratitude,
Cassandra
","LEGO Sets, Rainbow Loom Charm Bracelet Kit"
Marie,marie789@hotmail.com,Saskatchewan,Saskatoon,2024-11-04,"Hello Santa,

My name is Marie, and I come from Saskatoon, Saskatchewan.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a foldable travel backpack. And if it’s possible, I’d also really appreciate a interactive storybook projector.

Thanks for making Christmas magical!
With gratitude,
Marie
","foldable travel backpack, interactive storybook projector"
Taylor,taylor.let@outlook.com,Alberta,Lethbridge,2024-11-07,"S-man!

What's crackin'? It's Taylor from Lethbridge, Alberta. I've been keeping my nose clean all year.
I'm super stoked about maybe getting a Harry Potter Wand. And if you're feeling extra jolly, a solar-powered phone charger would be off the hook!

You're a legend, Santa!
Taylor
","Harry Potter Wand, solar-powered phone charger"
Renee,renee.wilson@mail.com,Quebec,Quebec City,2024-11-05,"Hi Santa,

I'm Renee from Quebec City, Quebec. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a noise-cancelling headphones. If it’s not too much trouble, I’d also love a Apple iPad (10th Generation).

Happy Holidays, Santa!
Best wishes,
Renee
","noise-cancelling headphones, Apple iPad (10th Generation)"
Scott,scott.cal@mail.com,Alberta,Calgary,2024-12-13,"Hi Santa!

Scott here, waving from Calgary, Alberta. I've been trying my best to be good (most of the time).
I'm really hoping to find a customizable neon sign under the tree. And if there's room in your bag, a smart fitness tracker would be amazing!

Thanks for being awesome!
Scott
","customizable neon sign, smart fitness tracker"
Aaron,aaron2015@outlook.com,Saskatchewan,Saskatoon,2024-12-12,"Dear Santa,

I hope this letter finds you well. My name is Aaron, and I live in Saskatoon, Saskatchewan. 
This year, I've been on my best behavior. For Christmas, I would really love a Surprise Toy Bath Bombs. 
If you can, I would also be thrilled to receive a electric wine opener.

Thank you for all the joy you bring!
Sincerely,
Aaron
","Surprise Toy Bath Bombs, electric wine opener"
Kimberly,kimberly789@mail.com,British Columbia,Surrey,2024-12-01,"Hey Santa, what's good?

It's your buddy Kimberly from Surrey, British Columbia. I've been trying to keep my cool all year.
I'm really hoping to score a LEGO Creator 3-in-1 Mighty Dinosaurs this Christmas. And if you've got any magic left, a Teenage Mutant Ninja Turtles Figures would be sick!

Keep sleighing it, Santa!
Kimberly
","LEGO Creator 3-in-1 Mighty Dinosaurs, Teenage Mutant Ninja Turtles Figures"
Robert,,Saskatchewan,Regina,2024-12-13,"Hey Santa, what's good?

It's your buddy Robert from Regina, Saskatchewan. I've been trying to keep my cool all year.
I'm really hoping to score a LED Light-Up Sneakers this Christmas. And if you've got any magic left, a portable campfire would be sick!

Keep sleighing it, Santa!
Robert
","LED Light-Up Sneakers, portable campfire"
Megan,megan789@outlook.com,British Columbia,Victoria,2024-11-03,"Hey Santa!

What's up? It's Megan here from Victoria, British Columbia. I've been crushing it this year - no coal for me, right? 😉
I'm dreaming of a digital art drawing tablet under the tree. Oh, and if you've got room in that sleigh, a smart home assistant would be epic too!

You're the best, big guy!
Megan
","digital art drawing tablet, smart home assistant"
Michael,michael2012@yahoo.com,Ontario,Mississauga,2024-11-06,"Hello Santa,

My name is Michael, and I come from Mississauga, Ontario.
This year, I’ve tried to spread kindness and be the best I can be. For Christmas, I would 
be delighted to unwrap a virtual pet robot. And if it’s possible, I’d also really appreciate a mini waffle maker.

Thanks for making Christmas magical!
With gratitude,
Michael
","virtual pet robot, mini waffle maker"
Alicia,alicia.m@gmail.com,Quebec,Montreal,2024-12-02,"Dear Santa Claus,

Hello! My name is Alicia, and I live in Montreal, Quebec.
I’ve been very kind and helpful this year. For Christmas, I would really like a e.l.f. Halo Glow Liquid Filter.
It would also make me so happy to have a programmable LED message board if you can manage it.

Thank you so much, Santa!
Yours truly,
Alicia
","e.l.f. Halo Glow Liquid Filter, programmable LED message board"
Amber,amber2013@gmail.com,Ontario,Toronto,2024-12-11,"Yo Santa!

Amber checking in from Toronto, Ontario. This year's been wild, but I've kept it cool. 
I'm hyped about maybe getting a Ceramic Piggybank Nursery Keepsake. And, if you're feeling extra jolly, a Small Stoneware Vase would blow my mind!

Stay frosty!
Amber
","Ceramic Piggybank Nursery Keepsake, Small Stoneware Vase"
Katherine,katherine.cor@mail.com,Newfoundland and Labrador,Corner Brook,2024-11-26,"Hi Santa!

Katherine here, waving from Corner Brook, Newfoundland and Labrador. I've been trying my best to be good (most of the time).
I'm really hoping to find a toy car under the tree. And if there's room in your bag, a magnetic levitating globe would be amazing!

Thanks for being awesome!
Katherine
","toy car, magnetic levitating globe"
Larry,larry.jones@mail.com,Newfoundland and Labrador,Gander,2024-11-12,"Dear Santa,

I hope this letter finds you well. My name is Larry, and I live in Gander, Newfoundland and Labrador. 
This year, I've been on my best behavior. For Christmas, I would really love a ElectroCubes Nightlight Building Set. 
If you can, I would also be thrilled to receive a Rainbow Loom Charm Bracelet Kit.

Thank you for all the joy you bring!
Sincerely,
Larry
","ElectroCubes Nightlight Building Set, Rainbow Loom Charm Bracelet Kit"
Brandon,,New Brunswick,Moncton,2024-11-10,"Hi Santa,

I'm Brandon from Moncton, New Brunswick. It's been a great year, and I've tried my best to be good. 
For Christmas, I have my eyes set on a mini drone. If it’s not too much trouble, I’d also love a bicycle.

Happy Holidays, Santa!
Best wishes,
Brandon
","mini drone, bicycle"
Jennifer,jennifer.wilson@gmail.com,Alberta,Red Deer,2024-11-14,"Dear S-Claus,

It's your pal Jennifer from Red Deer, Alberta. I've been working on my nice game all year.
I'm really hoping for a electric wine opener this Christmas. And hey, if you're in a giving mood, a Teenage Mutant Ninja Turtles Figures would be awesome too!

Thanks for being you!
Jennifer
","electric wine opener, Teenage Mutant Ninja Turtles Figures"
Andrew,andrew.brown@outlook.com,Saskatchewan,Saskatoon,2024-11-20,"Hi there, Santa!

It's Andrew from Saskatoon, Saskatchewan. I've been trying my best to stay on the nice list.
I'm really wishing for a lego set this year. And if it's not too much, a heated blanket with remote would be amazing too!

Thanks for all you do!
Andrew
","lego set, heated blanket with remote"
Anthony,anthony2017@gmail.com,Nova Scotia,Sydney,2024-12-11,"Hi there, Santa!

It's Anthony from Sydney, Nova Scotia. I've been trying my best to stay on the nice list.
I'm really wishing for a Teenage Mutant Ninja Turtles Figures this year. And if it's not too much, a Skullcandy Dime 2 In-Ear Wireless Earbuds would be amazing too!

Thanks for all you do!
Anthony
","Teenage Mutant Ninja Turtles Figures, Skullcandy Dime 2 In-Ear Wireless Earbuds"
Dakota,dakota.sum@gmail.com,Prince Edward Island,Summerside,2024-12-02,"Dear Santa Claus,

It’s Dakota here from Summerside, Prince Edward Island! I hope you and the reindeer are doing great.
This year, I’ve been really good, and I’d be super excited to get a Yellow Dress-Up Set.
And if it’s okay, I’d also love a Out to Impress Jewelry Set to make the holidays even more special.

Thanks so much, Santa!
Love,
Dakota
","Yellow Dress-Up Set, Out to Impress Jewelry Set"
